Match ID,Team 1,Team 2,T1 Pre-Match Odds,T2 Pre-Match Odds,Map 1,M1 Score,Map 2,M2 Score,Map 3,M3 Score,Map 4,M4 Score,Map 5,M5 Score,Match URL
698913,Global Esports,ZETA DIVISION,1.31,3.30,Breeze,13-9,Split,14-12,,,,,,,https://www.vlr.gg/698913/global-esports-vs-zeta-division-vct-2026-pacific-stage-2-w4
724626,KeepBest Gaming,FunPlus Phoenix,2.89,1.36,Breeze,10-13,Sunset,8-13,,,,,,,https://www.vlr.gg/724626/keepbest-gaming-vs-funplus-phoenix-vct-2026-china-stage-2-lr1
729668,FUT Esports,GIANTX,1.35,2.99,Split,13-6,Sunset,13-10,,,,,,,https://www.vlr.gg/729668/fut-esports-vs-giantx-vct-2026-emea-stage-2-ubqf
729669,Eternal Fire,Joblife,1.46,2.54,Lotus,10-13,Split,14-12,Ascent,13-7,,,,,https://www.vlr.gg/729669/eternal-fire-vs-joblife-vct-2026-emea-stage-2-ubqf
706376,KRÜ Esports,Sentinels,2.95,1.37,Summit,6-13,Sunset,13-6,Breeze,13-7,,,,,https://www.vlr.gg/706376/kr-esports-vs-sentinels-vct-2026-americas-stage-2-w4
706377,LEVIATÁN,MIBR,1.55,2.35,Split,13-10,Sunset,13-8,,,,,,,https://www.vlr.gg/706377/leviat-n-vs-mibr-vct-2026-americas-stage-2-w4
698914,VARREL,Paper Rex,4.81,1.16,Split,13-9,Sunset,13-11,,,,,,,https://www.vlr.gg/698914/varrel-vs-paper-rex-vct-2026-pacific-stage-2-w4
724627,EDward Gaming,Wolves Esports,1.30,3.25,Ascent,11-13,Sunset,13-10,Haven,13-6,,,,,https://www.vlr.gg/724627/edward-gaming-vs-wolves-esports-vct-2026-china-stage-2-lr2
698915,Nongshim RedForce,Rex Regum Qeon,1.41,2.76,Breeze,12-14,Sunset,13-11,Haven,10-13,,,,,https://www.vlr.gg/698915/nongshim-redforce-vs-rex-regum-qeon-vct-2026-pacific-stage-2-w4
724628,Trace Esports,FunPlus Phoenix,2.10,1.66,Ascent,13-5,Lotus,13-7,,,,,,,https://www.vlr.gg/724628/trace-esports-vs-funplus-phoenix-vct-2026-china-stage-2-lr2
